starting room,,,,,,,,,,,
path,,,,,,,,,,,
path,,,,,,,,,,,
path,stick room,path,,,,,,,,,
,,path,path,path,path,,,,,,
,,path,,,path,small monster room,path,path,path,path,path
,,small monster room,,,path,,,,,,
,,path,,,path,,,,,,
,,path,,,path,,,,,,
,,path,small monster room,path,path,,,,,,
,,path,,path,,,,,,,
,,rock room,,path,,,,,,,
,,path,,healing fountain,,,,,,,
,,path,,path,,,,,,,
,,path,,path,,,,,,,
,,,,path,,,,,,,
,,,,fancy room,,,,,,,
,,,,path,,,,,,,
,,,,path,,,,,,,
,,,,path,,,,,,,
,,,,path,,,,,,,
